"Plant","Term","Rep","RyeDMg","Pdate","Tdate","GrDay","Tdate2"
"P1","T1","I",443,257,20,233,20
"P2","T1","I",287,288,20,202,20
"P1","T2","I",631.5,257,32.5,245.5,32.5
"P2","T2","I",513,288,32.5,214.5,32.5
"P1","T3","I",771.5,257,39.5,252.5,39.5
"P2","T3","I",570.5,288,39.5,221.5,39.5
"P1","T1","II",593,257,20,233,20
"P2","T1","II",342.5,288,20,202,20
"P1","T2","II",774.5,257,32.5,245.5,32.5
"P2","T2","II",562,288,32.5,214.5,32.5
"P1","T3","II",930.5,257,39.5,252.5,39.5
"P2","T3","II",619,288,39.5,221.5,39.5
"P1","T1","III",516.5,257,20,233,20
"P2","T1","III",324.5,288,20,202,20
"P1","T2","III",710.5,257,32.5,245.5,32.5
"P2","T2","III",647.5,288,32.5,214.5,32.5
"P1","T3","III",848,257,39.5,252.5,39.5
"P2","T3","III",876.5,288,39.5,221.5,39.5
"P1","T1","IV",556,257,20,233,20
"P2","T1","IV",434.5,288,20,202,20
"P1","T2","IV",731.5,257,32.5,245.5,32.5
"P2","T2","IV",573.5,288,32.5,214.5,32.5
"P1","T3","IV",764.5,257,39.5,252.5,39.5
"P2","T3","IV",773,288,39.5,221.5,39.5
