Treatment,DogID,Timepoint,Potassium
1,1,1,4
1,1,5,4.1
1,1,9,3.6
1,1,13,3.1
1,2,1,4.2
1,2,5,3.7
1,2,9,4.8
1,2,13,5.2
1,3,1,4.3
1,3,5,4.3
1,3,9,4.5
1,3,13,5.4
1,4,1,4.2
1,4,5,4.6
1,4,9,5.3
1,4,13,4.9
1,5,1,4.6
1,5,5,5.3
1,5,9,5.9
1,5,13,5.3
1,6,1,3.1
1,6,5,4.9
1,6,9,5.3
1,6,13,4.1
1,7,1,3.7
1,7,5,3.9
1,7,9,5.2
1,7,13,4.2
1,8,1,4.3
1,8,5,4.4
1,8,9,5.6
1,8,13,4.7
1,9,1,4.6
1,9,5,4.4
1,9,9,5.4
1,9,13,5.6
2,10,1,3.2
2,10,5,3.8
2,10,9,4.4
2,10,13,3.7
2,11,1,3.3
2,11,5,3.4
2,11,9,3.7
2,11,13,3.7
2,12,1,3.1
2,12,5,3.2
2,12,9,3.2
2,12,13,3.1
2,13,1,3.6
2,13,5,3.5
2,13,9,4.9
2,13,13,4.4
2,14,1,4.5
2,14,5,5.4
2,14,9,4.9
2,14,13,4
2,15,1,3.7
2,15,5,4.4
2,15,9,4.6
2,15,13,5.4
2,16,1,3.5
2,16,5,5.8
2,16,9,4.9
2,16,13,5.6
2,17,1,3.9
2,17,5,4.1
2,17,9,5.4
2,17,13,3.9
3,18,1,3.1
3,18,5,3.5
3,18,9,3
3,18,13,3.2
3,19,1,3.3
3,19,5,3.6
3,19,9,3.7
3,19,13,4.4
3,20,1,3.5
3,20,5,4.7
3,20,9,3.9
3,20,13,3.5
3,21,1,3.4
3,21,5,3.5
3,21,9,3.4
3,21,13,3.4
3,22,1,3.7
3,22,5,4.2
3,22,9,3.6
3,22,13,3.7
3,23,1,4
3,23,5,4.8
3,23,9,5.4
3,23,13,4.8
3,24,1,4.2
3,24,5,4.5
3,24,9,3.9
3,24,13,3.7
3,25,1,4.1
3,25,5,3.7
3,25,9,4.1
3,25,13,4.7
3,26,1,3.5
3,26,5,3.6
3,26,9,4.8
3,26,13,5
4,27,1,3.4
4,27,5,3.5
4,27,9,3.1
4,27,13,3.3
4,28,1,3
4,28,5,3
4,28,9,3.1
4,28,13,3.1
4,29,1,3
4,29,5,3.2
4,29,9,3.3
4,29,13,3
4,30,1,3.1
4,30,5,3.2
4,30,9,3.3
4,30,13,3.1
4,31,1,3.8
4,31,5,4
4,31,9,3.5
4,31,13,3.4
4,32,1,3
4,32,5,3.2
4,32,9,3
4,32,13,3
4,33,1,3.3
4,33,5,3.3
4,33,9,3.6
4,33,13,3.1
4,34,1,4.2
4,34,5,4.2
4,34,9,4.2
4,34,13,4
4,35,1,4.1
4,35,5,4.3
4,35,9,4.2
4,35,13,4.2
4,36,1,4.5
4,36,5,4.3
4,36,9,5.3
4,36,13,4.4
